14:35:08:124 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:124 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:124 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:124 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:124 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:124 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:124 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:124 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:124 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:124 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:124 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
