Shampoo Bottle 
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
, S1=43.00 mA, S2=9.65 mA, S3=42.58 mA, S4=50.60 mA
